,hpso01 (Ingest) [Nf_max=16384] [Na=32],hpso01 (RCAL) [Nf_max=16384] [Na=32],hpso01 (FastImg) [Nf_max=16384] [Na=32],hpso01 (ICAL) [Nf_max=16384] [Na=32],hpso01 (DPrepA) [Nf_max=16384] [Na=32],hpso01 (DPrepB) [Nf_max=16384] [Na=32],hpso01 (DPrepC) [Nf_max=16384] [Na=32],hpso01 (DPrepD) [Nf_max=16384] [Na=32],hpso02a (Ingest) [Nf_max=16384] [Na=32],hpso02a (RCAL) [Nf_max=16384] [Na=32],hpso02a (FastImg) [Nf_max=16384] [Na=32],hpso02a (ICAL) [Nf_max=16384] [Na=32],hpso02a (DPrepA) [Nf_max=16384] [Na=32],hpso02a (DPrepB) [Nf_max=16384] [Na=32],hpso02a (DPrepC) [Nf_max=16384] [Na=32],hpso02a (DPrepD) [Nf_max=16384] [Na=32],hpso02b (Ingest) [Nf_max=16384] [Na=32],hpso02b (RCAL) [Nf_max=16384] [Na=32],hpso02b (FastImg) [Nf_max=16384] [Na=32],hpso02b (ICAL) [Nf_max=16384] [Na=32],hpso02b (DPrepA) [Nf_max=16384] [Na=32],hpso02b (DPrepB) [Nf_max=16384] [Na=32],hpso02b (DPrepC) [Nf_max=16384] [Na=32],hpso02b (DPrepD) [Nf_max=16384] [Na=32],hpso04a (Ingest) [Na=32],hpso04a (RCAL) [Na=32],hpso04a (FastImg) [Na=32],hpso04a (PSS) [Na=32],hpso05a (Ingest) [Nf_max=16384] [Na=32],hpso05a (RCAL) [Nf_max=16384] [Na=32],hpso05a (FastImg) [Nf_max=16384] [Na=32],hpso05a (PST) [Nf_max=16384] [Na=32],max_low (Ingest) [Nf_max=16384] [Na=32],max_low (RCAL) [Nf_max=16384] [Na=32],max_low (FastImg) [Nf_max=16384] [Na=32],max_low (ICAL) [Nf_max=16384] [Na=32],max_low (DPrepA) [Nf_max=16384] [Na=32],max_low (DPrepA_Image) [Nf_max=16384] [Na=32],max_low (DPrepB) [Nf_max=16384] [Na=32],max_low (DPrepC) [Nf_max=16384] [Na=32],max_low (DPrepD) [Nf_max=16384] [Na=32]
-> Reprojection [Tera/s],,0.015072230818811459,,0.13565007736930312,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.015072230818811459,,0.06028892327524582,0.05685683779387038,0.2842841889693519,0.5922587270194831,,,0.007614500175658578,,,,0.007614500175658578,,,,0.00754710039176144,,0.06792390352585298,0.028469857444916265,0.0007117464361229065,0.14234928722458132,12.95694845493078,
-> Identify Component [Tera/s],,,,9.68e-08,2.444444444444444e-09,8.8e-08,2.933333333333333e-08,,,,,3.92e-08,2.444444444444444e-09,8.8e-08,2.933333333333333e-08,,,,,3.92e-08,2.444444444444444e-09,8.8e-08,2.933333333333333e-08,,,,,,,,,,,,,4.6666666666666674e-08,9.125925925925925e-10,1.425925925925926e-09,3.6666666666666664e-08,5.33997037037037e-07,
-> Reprojection Predict [Tera/s],,0.0753611540940573,,0.6782503868465156,0.05685683779387038,0.11371367558774076,0.07896783026926442,,,0.0753611540940573,,0.3014446163762291,0.05685683779387038,0.11371367558774076,0.07896783026926442,,,0.0753611540940573,,0.3014446163762291,0.05685683779387038,0.11371367558774076,0.07896783026926442,,,0.038072500878292885,,,,0.038072500878292885,,,,0.037735501958807205,,0.33961951762926484,0.028469857444916265,0.0007117464361229065,0.05693971488983253,0.03954146867349481,
-> Gridding Kernel Update [Tera/s],,10.074063008083375,0.06508966006920883,141.68654770070808,7.818227465184588,71.42826699162873,163.17154246880733,,,10.074063008083375,0.06508966006920883,67.82394090045658,7.818227465184588,71.42826699162873,163.17154246880733,,,10.074063008083375,0.06508966006920883,67.82394090045658,7.818227465184588,71.42826699162873,163.17154246880733,,,1.0702198968911882,0.001660558166757095,,,1.0702198968911882,0.001660558166757095,,,5.115292551032269,0.03591091958072276,55.3162601504573,4.4684018859383725,3.9688134622314775,36.392080056062056,2580.5778413553403,
-> Phase Rotation Predict [Tera/s],,0.16989727402666668,0.0,0.94397005824,0.3551414649290845,0.05114037094978816,0.0,,,0.16989727402666668,0.0,0.38226886656,0.3551414649290845,0.05114037094978816,0.0,,,0.16989727402666668,0.0,0.38226886656,0.3551414649290845,0.05114037094978816,0.0,,,0.042731400249123384,0.0,,,0.042731400249123384,0.0,,,0.08494863701333334,0.0,0.390070272,0.15957939782673358,0.04986856182085424,0.03590536451101505,0.0,
-> Correct [Tera/s],,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,0.009535051093333332,,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,0.009535051093333332,,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,0.009535051093333332,,0.0004273140024912337,0.0001538069642623337,,,0.0004273140024912337,0.0001538069642623337,,,0.00043341141333333335,0.00021670570666666668,0.00390070272,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.004767525546666666,0.004767525546666666
-> Grid [Tera/s],,1.6516259407569678,132.51399404614432,18.913512487982562,6.460878437789002,4.456655274050345,13.619533161731725,,,1.6516259407569678,132.51399404614432,8.805894826411727,6.460878437789002,4.456655274050345,13.619533161731725,,,1.6516259407569678,132.51399404614432,8.805894826411727,6.460878437789002,4.456655274050345,13.619533161731725,,,0.7155662221994151,44.13528695640362,,,0.7155662221994151,44.13528695640362,,,1.1612867885209714,80.31601010526248,14.62694451618546,5.677064167879541,0.9085511138616621,3.0715411165847657,16.197950090535766,
-> Phase Rotation [Tera/s],,0.0005590461576117266,0.0,0.004334226681934949,0.0004238897962741703,0.0006952547776531869,0.0,,,0.0005590461576117266,0.0,0.001960224282334367,0.0004238897962741703,0.0006952547776531869,0.0,,,0.0005590461576117266,0.0,0.001960224282334367,0.0004238897962741703,0.0006952547776531869,0.0,,,0.00014299256980993566,0.0,,,0.00014299256980993566,0.0,,,0.0003925029801187708,0.0,0.0029490223125796457,0.000250451633899678,0.00029761051141235844,0.00046559743971298905,0.0,
-> Subtract Visibility [Tera/s],,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,,,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,,,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,,,0.0004273140024912337,0.0001538069642623337,,,0.0004273140024912337,0.0001538069642623337,,,0.00043341141333333335,0.00021670570666666668,0.00390070272,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.004767525546666666,
-> Subtract Image Component [Tera/s],,,,0.0007065108196317871,0.00011845174540389664,0.011845174540389664,0.024677446959145134,,,,,0.00031400480872523863,0.00011845174540389664,0.011845174540389664,0.024677446959145134,,,,,0.00031400480872523863,0.00011845174540389664,0.011845174540389664,0.024677446959145134,,,,,,,,,,,,,0.0004127320526744538,6.919757017861592e-05,6.919757017861592e-05,0.004942683584186851,0.44989404357398544,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> DFT [Tera/s],,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,,,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,,,0.0008668228266666667,0.00043341141333333335,0.00780140544,0.002841131719432676,0.005682263438865352,0.009535051093333332,,,0.0004273140024912337,0.0001538069642623337,,,0.0004273140024912337,0.0001538069642623337,,,0.00043341141333333335,0.00021670570666666668,0.00390070272,0.0019947424728341697,0.0019947424728341697,0.003989484945668339,0.004767525546666666,
-> Visibility Weighting [Tera/s],,0.000759334021166206,1.920004697972053e-05,0.004325188712967985,0.0005385645217981014,0.0004183716670096466,0.00012128587708814815,,,0.000759334021166206,1.920004697972053e-05,0.001783788567687025,0.0005385645217981014,0.0004183716670096466,0.00012128587708814815,,,0.000759334021166206,1.920004697972053e-05,0.001783788567687025,0.0005385645217981014,0.0004183716670096466,0.00012128587708814815,,,0.00020224360177857425,9.600023489860266e-06,,,0.00020224360177857425,9.600023489860266e-06,,,0.000379667010583103,9.600023489860266e-06,0.0018201924160071684,0.00017475509951385797,0.0002692822608990507,0.0002091858335048233,6.0642938544074076e-05,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Flag [Mvis/s],,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,9.029404444444443,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,9.029404444444443,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,9.029404444444443,,8.902375051900703,6.40862351093057,,,8.902375051900703,6.40862351093057,,,9.029404444444443,9.029404444444443,9.029404444444443,7.555842700129431,7.555842700129431,7.555842700129431,9.029404444444443,9.029404444444443
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Degridding Kernel Update [Mvis/s],,0.0050807872178695,0.04799671387264998,0.006114279578347244,0.0052498463862095685,0.010355211859450816,0.09196313385899164,,,0.0050807872178695,0.04799671387264998,0.0064943579918086865,0.0052498463862095685,0.010355211859450816,0.09196313385899164,,,0.0050807872178695,0.04799671387264998,0.0064943579918086865,0.0052498463862095685,0.010355211859450816,0.09196313385899164,,,0.005196884848731631,0.04226467576846098,,,0.005196884848731631,0.04226467576846098,,,0.004919857571440762,0.04705600443989552,0.005928858033043794,0.005588015649036166,0.005064806902395941,0.009395589895851063,0.4586296858358509,
-> FFT [Mvis/s],,0.004245378097965886,0.011006535809541189,0.005403208488320219,0.004402614323816475,0.007337690539694124,0.018344226349235312,,,0.004245378097965886,0.011006535809541189,0.005660504130621181,0.004402614323816475,0.007337690539694124,0.018344226349235312,,,0.004245378097965886,0.011006535809541189,0.005660504130621181,0.004402614323816475,0.007337690539694124,0.018344226349235312,,,0.0059743593441807285,0.011063628415149497,,,0.0059743593441807285,0.011063628415149497,,,0.004248471098727798,0.011014554700405398,0.005947859538218918,0.0055072773502027016,0.00440582188016216,0.007343036466936934,0.018357591167342337,
-> IFFT [Mvis/s],,0.021226890489829432,0.011006535809541189,0.027016042441601096,0.004402614323816475,0.00293507621587765,0.0024458968465647076,,,0.021226890489829432,0.011006535809541189,0.028302520653105904,0.004402614323816475,0.00293507621587765,0.0024458968465647076,,,0.021226890489829432,0.011006535809541189,0.028302520653105904,0.004402614323816475,0.00293507621587765,0.0024458968465647076,,,0.029871796720903645,0.011063628415149497,,,0.029871796720903645,0.011063628415149497,,,0.021242355493638992,0.011014554700405398,0.02973929769109459,0.0055072773502027016,0.022029109400810803,0.002937214586774774,5.6022922263617973e-05,
-> Solve [Mvis/s],,9.029404444444443,,9.029404444444443,,,,,,9.029404444444443,,9.029404444444443,,,,,,9.029404444444443,,9.029404444444443,,,,,,8.902375051900703,,,,8.902375051900703,,,,9.029404444444443,,9.029404444444443,,,,,
-> Degrid [Mvis/s],,3.3922292769488154,1249.337212244885,6.953019881792428,2.023887757508393,29.718609915943095,6022.366073009452,,,3.3922292769488154,1249.337212244885,9.059186260833332,2.023887757508393,29.718609915943095,6022.366073009452,,,3.3922292769488154,1249.337212244885,9.059186260833332,2.023887757508393,29.718609915943095,6022.366073009452,,,2.220144296357403,286.70780470156666,,,2.220144296357403,286.70780470156666,,,2.2091502851459164,714.0374054126629,5.452840595331814,2.0164609978611576,1.3064209491527297,17.655711589783035,25248.582656900868,
-> Reprojection [Mvis/s],,18.023235194688443,,29.19466196825567,19.383012884273995,53.841702456316646,336.5106403519791,,,18.023235194688443,,32.04130701277945,19.383012884273995,53.841702456316646,336.5106403519791,,,18.023235194688443,,32.04130701277945,19.383012884273995,53.841702456316646,336.5106403519791,,,35.69296957339958,,,,35.69296957339958,,,,18.049506676725386,,35.37703308638176,30.330103812055675,2.4264083049644545,53.92018455476563,337.00115346728535,
-> Identify Component [Mvis/s],,,,29.19466196825567,19.383012884273995,53.841702456316646,336.5106403519791,,,,,32.04130701277945,19.383012884273995,53.841702456316646,336.5106403519791,,,,,32.04130701277945,19.383012884273995,53.841702456316646,336.5106403519791,,,,,,,,,,,,,35.37703308638175,30.330103812055675,19.411266439715636,53.92018455476563,337.00115346728535,
-> Reprojection Predict [Mvis/s],,90.11617597344222,,145.97330984127834,19.383012884273995,21.536680982526658,44.86808538026387,,,90.11617597344222,,160.20653506389726,19.383012884273995,21.536680982526658,44.86808538026387,,,90.11617597344222,,160.20653506389726,19.383012884273995,21.536680982526658,44.86808538026387,,,178.46484786699793,,,,178.46484786699793,,,,90.24753338362693,,176.88516543190875,30.330103812055675,2.4264083049644545,21.56807382190626,1.0284459029152995,
-> Gridding Kernel Update [Mvis/s],,0.0050807872178695,0.04799671387264998,0.006114279578347244,0.0052498463862095685,0.010355211859450816,0.09196313385899164,,,0.0050807872178695,0.04799671387264998,0.0064943579918086865,0.0052498463862095685,0.010355211859450816,0.09196313385899164,,,0.0050807872178695,0.04799671387264998,0.0064943579918086865,0.0052498463862095685,0.010355211859450816,0.09196313385899164,,,0.005196884848731631,0.04226467576846098,,,0.005196884848731631,0.04226467576846098,,,0.004919857571440762,0.04705600443989552,0.005928858033043794,0.005588015649036166,0.005064806902395941,0.009395589895851063,0.4586296858358509,
-> Phase Rotation Predict [Mvis/s],,9.029404444444443,9.029404444444443,9.029404444444443,5.38093128680431,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,5.38093128680431,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,5.38093128680431,5.380931286804311,9.029404444444443,,,8.902375051900703,6.40862351093057,,,8.902375051900703,6.40862351093057,,,9.029404444444443,9.029404444444443,9.029404444444443,7.55584270012943,7.555842700129431,7.555842700129431,9.029404444444443,
-> Correct [Mvis/s],,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,9.029404444444443,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,9.029404444444443,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,9.029404444444443,,8.902375051900703,6.40862351093057,,,8.902375051900703,6.40862351093057,,,9.029404444444443,9.029404444444443,9.029404444444443,7.555842700129431,7.555842700129431,7.555842700129431,9.029404444444443,9.029404444444443
-> Grid [Mvis/s],,3.3922292769488154,1249.337212244885,6.953019881792428,2.023887757508393,29.718609915943095,6022.366073009452,,,3.3922292769488154,1249.337212244885,9.059186260833332,2.023887757508393,29.718609915943095,6022.366073009452,,,3.3922292769488154,1249.337212244885,9.059186260833332,2.023887757508393,29.718609915943095,6022.366073009452,,,2.220144296357403,286.70780470156666,,,2.220144296357403,286.70780470156666,,,2.2091502851459164,714.0374054126629,5.452840595331814,2.0164609978611576,1.3064209491527297,17.655711589783035,25248.582656900868,
-> Phase Rotation [Mvis/s],,9.029404444444443,9.029404444444443,9.029404444444443,1.0761862573608618,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,1.0761862573608618,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,1.0761862573608618,5.380931286804311,9.029404444444443,,,8.902375051900703,6.40862351093057,,,8.902375051900703,6.40862351093057,,,9.029404444444443,9.029404444444443,9.029404444444443,1.511168540025886,7.555842700129431,7.555842700129431,9.029404444444443,
-> Subtract Visibility [Mvis/s],,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,,,8.902375051900703,6.40862351093057,,,8.902375051900703,6.40862351093057,,,9.029404444444443,9.029404444444443,9.029404444444443,7.555842700129431,7.555842700129431,7.555842700129431,9.029404444444443,
-> Subtract Image Component [Mvis/s],,,,29.19466196825567,19.383012884273995,53.841702456316646,336.5106403519791,,,,,32.04130701277945,19.383012884273995,53.841702456316646,336.5106403519791,,,,,32.04130701277945,19.383012884273995,53.841702456316646,336.5106403519791,,,,,,,,,,,,,35.37703308638175,30.330103812055675,19.411266439715636,53.92018455476563,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> DFT [Mvis/s],,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,,,9.029404444444443,9.029404444444443,9.029404444444443,5.380931286804311,5.380931286804311,9.029404444444443,,,8.902375051900703,6.40862351093057,,,8.902375051900703,6.40862351093057,,,9.029404444444443,9.029404444444443,9.029404444444443,7.555842700129431,7.555842700129431,7.555842700129431,9.029404444444443,
-> Visibility Weighting [Mvis/s],,0.029711211607766085,2.304601075166872,0.04145839724838297,0.032112863354103814,0.07315391179010805,1.294017079946054,,,0.029711211607766085,2.304601075166872,0.04630159397048297,0.032112863354103814,0.07315391179010805,1.294017079946054,,,0.029711211607766085,2.304601075166872,0.04630159397048297,0.032112863354103814,0.07315391179010805,1.294017079946054,,,0.029790118710403265,1.475781827749785,,,0.029790118710403265,1.475781827749785,,,0.0417201296894952,2.971124496048242,0.0682644053837881,0.05929252696488588,0.045092501729145223,0.09797925919886133,2.352210949588328,
