,hpso04b (Ingest) [Nf_max=65536] [Na=140],hpso04b (RCAL) [Nf_max=65536] [Na=140],hpso04b (FastImg) [Nf_max=65536] [Na=140],hpso04b (PSS) [Nf_max=65536] [Na=140],hpso04c (Ingest) [Na=140],hpso04c (RCAL) [Na=140],hpso04c (FastImg) [Na=140],hpso04c (PSS) [Na=140],hpso05b (Ingest) [Na=140],hpso05b (RCAL) [Na=140],hpso05b (FastImg) [Na=140],hpso05b (PST) [Na=140],hpso13 (Ingest) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (RCAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (FastImg) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (ICAL) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepA) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepB) [Nf_max=65536] [Na=140] [Bmax=35000],hpso13 (DPrepC) [Nf_max=65536] [Na=140] [Bmax=35000],hpso14 (Ingest) [Na=140] [Bmax=25000],hpso14 (RCAL) [Na=140] [Bmax=25000],hpso14 (FastImg) [Na=140] [Bmax=25000],hpso14 (ICAL) [Na=140] [Bmax=25000],hpso14 (DPrepA) [Na=140] [Bmax=25000],hpso14 (DPrepB) [Na=140] [Bmax=25000],hpso14 (DPrepC) [Na=140] [Bmax=25000],hpso15 (Ingest) [Na=140] [Bmax=15000],hpso15 (RCAL) [Na=140] [Bmax=15000],hpso15 (FastImg) [Na=140] [Bmax=15000],hpso15 (ICAL) [Na=140] [Bmax=15000],hpso15 (DPrepA) [Na=140] [Bmax=15000],hpso15 (DPrepB) [Na=140] [Bmax=15000],hpso15 (DPrepC) [Na=140] [Bmax=15000],hpso18 (Ingest) [Na=140],hpso18 (RCAL) [Na=140],hpso18 (FastImg) [Na=140],hpso18 (SinglePulse) [Na=140],hpso22 (Ingest) [Na=140],hpso22 (RCAL) [Na=140],hpso22 (FastImg) [Na=140],hpso22 (ICAL) [Na=140],hpso22 (DPrepA) [Na=140],hpso22 (DPrepB) [Na=140],hpso27and33 (Ingest) [Na=140] [Bmax=30000],hpso27and33 (RCAL) [Na=140] [Bmax=30000],hpso27and33 (FastImg) [Na=140] [Bmax=30000],hpso27and33 (ICAL) [Na=140] [Bmax=30000],hpso27and33 (DPrepA) [Na=140] [Bmax=30000],hpso27and33 (DPrepB) [Na=140] [Bmax=30000],hpso32 (Ingest) [Na=140] [Bmax=20000],hpso32 (RCAL) [Na=140] [Bmax=20000],hpso32 (FastImg) [Na=140] [Bmax=20000],hpso32 (ICAL) [Na=140] [Bmax=20000],hpso32 (DPrepB) [Na=140] [Bmax=20000],hpso37a (Ingest) [Na=140] [Bmax=120000],hpso37a (RCAL) [Na=140] [Bmax=120000],hpso37a (FastImg) [Na=140] [Bmax=120000],hpso37a (ICAL) [Na=140] [Bmax=120000],hpso37a (DPrepA) [Na=140] [Bmax=120000],hpso37a (DPrepB) [Na=140] [Bmax=120000],hpso37b (Ingest) [Na=140] [Bmax=120000],hpso37b (RCAL) [Na=140] [Bmax=120000],hpso37b (FastImg) [Na=140] [Bmax=120000],hpso37b (ICAL) [Na=140] [Bmax=120000],hpso37b (DPrepA) [Na=140] [Bmax=120000],hpso37b (DPrepB) [Na=140] [Bmax=120000],hpso37c (Ingest) [Na=140] [Bmax=120000],hpso37c (RCAL) [Na=140] [Bmax=120000],hpso37c (FastImg) [Na=140] [Bmax=120000],hpso37c (ICAL) [Na=140] [Bmax=120000],hpso37c (DPrepA) [Na=140] [Bmax=120000],hpso37c (DPrepB) [Na=140] [Bmax=120000],hpso38a (Ingest) [Na=140],hpso38a (RCAL) [Na=140],hpso38a (FastImg) [Na=140],hpso38a (ICAL) [Na=140],hpso38a (DPrepA) [Na=140],hpso38a (DPrepB) [Na=140],hpso38b (Ingest) [Na=140],hpso38b (RCAL) [Na=140],hpso38b (FastImg) [Na=140],hpso38b (ICAL) [Na=140],hpso38b (DPrepA) [Na=140],hpso38b (DPrepB) [Na=140],max_mid_band1 (Ingest) [Na=140],max_mid_band1 (RCAL) [Na=140],max_mid_band1 (FastImg) [Na=140],max_mid_band1 (ICAL) [Na=140],max_mid_band1 (DPrepA) [Na=140],max_mid_band1 (DPrepA_Image) [Na=140],max_mid_band1 (DPrepB) [Na=140],max_mid_band1 (DPrepC) [Na=140],max_mid_band1 (DPrepD) [Na=140],max_mid_band2 (Ingest) [Na=140],max_mid_band2 (RCAL) [Na=140],max_mid_band2 (FastImg) [Na=140],max_mid_band2 (ICAL) [Na=140],max_mid_band2 (DPrepA) [Na=140],max_mid_band2 (DPrepA_Image) [Na=140],max_mid_band2 (DPrepB) [Na=140],max_mid_band2 (DPrepC) [Na=140],max_mid_band2 (DPrepD) [Na=140],max_mid_band5a_1 (Ingest) [Na=140],max_mid_band5a_1 (RCAL) [Na=140],max_mid_band5a_1 (FastImg) [Na=140],max_mid_band5a_1 (ICAL) [Na=140],max_mid_band5a_1 (DPrepA) [Na=140],max_mid_band5a_1 (DPrepA_Image) [Na=140],max_mid_band5a_1 (DPrepB) [Na=140],max_mid_band5a_1 (DPrepC) [Na=140],max_mid_band5a_1 (DPrepD) [Na=140],max_mid_band5a_2 (Ingest) [Na=140],max_mid_band5a_2 (RCAL) [Na=140],max_mid_band5a_2 (FastImg) [Na=140],max_mid_band5a_2 (ICAL) [Na=140],max_mid_band5a_2 (DPrepA) [Na=140],max_mid_band5a_2 (DPrepA_Image) [Na=140],max_mid_band5a_2 (DPrepB) [Na=140],max_mid_band5a_2 (DPrepC) [Na=140],max_mid_band5a_2 (DPrepD) [Na=140],max_mid_band5b_1 (Ingest) [Na=140],max_mid_band5b_1 (RCAL) [Na=140],max_mid_band5b_1 (FastImg) [Na=140],max_mid_band5b_1 (ICAL) [Na=140],max_mid_band5b_1 (DPrepA) [Na=140],max_mid_band5b_1 (DPrepA_Image) [Na=140],max_mid_band5b_1 (DPrepB) [Na=140],max_mid_band5b_1 (DPrepC) [Na=140],max_mid_band5b_1 (DPrepD) [Na=140],max_mid_band5b_2 (Ingest) [Na=140],max_mid_band5b_2 (RCAL) [Na=140],max_mid_band5b_2 (FastImg) [Na=140],max_mid_band5b_2 (ICAL) [Na=140],max_mid_band5b_2 (DPrepA) [Na=140],max_mid_band5b_2 (DPrepA_Image) [Na=140],max_mid_band5b_2 (DPrepB) [Na=140],max_mid_band5b_2 (DPrepC) [Na=140],max_mid_band5b_2 (DPrepD) [Na=140]
Delta W earth8 [lambda],408.72154232182726,408.72154232182726,408.72154232182726,,732.8147953716973,732.8147953716973,732.8147953716973,,653.3975947648399,653.3975947648399,653.3975947648399,,,,,,,,,,,,,,,,,,,,,,,408.72154232182726,408.72154232182726,408.72154232182726,,5083.370761184832,5083.370761184832,5083.370761184832,5083.370761184832,5083.370761184832,5083.370761184832,,,,,,,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,277.99683850229553,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,653.3975947648399,2956.248024577931,2956.248024577931,2956.248024577931,2956.248024577931,2956.248024577931,2956.248024577931,2956.248024577931,2956.248024577931,2956.248024577931,3724.8837474199195,3724.8837474199195,3724.8837474199195,3724.8837474199195,3724.8837474199195,3724.8837474199195,3724.8837474199195,3724.8837474199195,3724.8837474199195,4970.259108121819,4970.259108121819,4970.259108121819,4970.259108121819,4970.259108121819,4970.259108121819,4970.259108121819,4970.259108121819,4970.259108121819,7434.205207722164,7434.205207722164,7434.205207722164,7434.205207722164,7434.205207722164,7434.205207722164,7434.205207722164,7434.205207722164,7434.205207722164
Delta W earth9 [lambda],610.5593409992729,610.5593409992729,610.5593409992729,,1094.6986449379676,1094.6986449379676,1094.6986449379676,,976.0630736610573,976.0630736610573,976.0630736610573,,,,,,,,,,,,,,,,,,,,,,,610.5593409992729,610.5593409992729,610.5593409992729,,7593.677309918083,7593.677309918083,7593.677309918083,7593.677309918083,7593.677309918083,7593.677309918083,,,,,,,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,415.2792278861451,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,976.0630736610573,4416.1235922707365,4416.1235922707365,4416.1235922707365,4416.1235922707365,4416.1235922707365,4416.1235922707365,4416.1235922707365,4416.1235922707365,4416.1235922707365,5564.332511577904,5564.332511577904,5564.332511577904,5564.332511577904,5564.332511577904,5564.332511577904,5564.332511577904,5564.332511577904,5564.332511577904,7424.708050404199,7424.708050404199,7424.708050404199,7424.708050404199,7424.708050404199,7424.708050404199,7424.708050404199,7424.708050404199,7424.708050404199,11105.417655980023,11105.417655980023,11105.417655980023,11105.417655980023,11105.417655980023,11105.417655980023,11105.417655980023,11105.417655980023,11105.417655980023
Delta W earth10 [lambda],852.7646994122075,852.7646994122075,852.7646994122075,,1528.9592644174918,1528.9592644174918,1528.9592644174918,,1363.261648336518,1363.261648336518,1363.261648336518,,,,,,,,,,,,,,,,,,,,,,,852.7646994122075,852.7646994122075,852.7646994122075,,10606.045168397983,10606.045168397983,10606.045168397983,10606.045168397983,10606.045168397983,10606.045168397983,,,,,,,,,,,,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,1185.4225369018127,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,580.0180951467647,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,1363.261648336518,6167.974273502104,6167.974273502104,6167.974273502104,6167.974273502104,6167.974273502104,6167.974273502104,6167.974273502104,6167.974273502104,6167.974273502104,7771.671028567486,7771.671028567486,7771.671028567486,7771.671028567486,7771.671028567486,7771.671028567486,7771.671028567486,7771.671028567486,7771.671028567486,10370.046781143054,10370.046781143054,10370.046781143054,10370.046781143054,10370.046781143054,10370.046781143054,10370.046781143054,10370.046781143054,10370.046781143054,15510.872593889453,15510.872593889453,15510.872593889453,15510.872593889453,15510.872593889453,15510.872593889453,15510.872593889453,15510.872593889453,15510.872593889453
Delta W earth11 [lambda],1135.3376175606313,1135.3376175606313,1135.3376175606313,,2035.5966538102703,2035.5966538102703,2035.5966538102703,,1814.993318791222,1814.993318791222,1814.993318791222,,,,,,,,,,,,,,,,,,,,,,,1135.3376175606313,1135.3376175606313,1135.3376175606313,,14120.474336624535,14120.474336624535,14120.474336624535,14120.474336624535,14120.474336624535,14120.474336624535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,772.2134402841542,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,1814.993318791222,8211.800068272032,8211.800068272032,8211.800068272032,8211.800068272032,8211.800068272032,8211.800068272032,8211.800068272032,8211.800068272032,8211.800068272032,10346.899298388666,10346.899298388666,10346.899298388666,10346.899298388666,10346.899298388666,10346.899298388666,10346.899298388666,10346.899298388666,10346.899298388666,13806.275300338386,13806.275300338386,13806.275300338386,13806.275300338386,13806.275300338386,13806.275300338386,13806.275300338386,13806.275300338386,13806.275300338386,20650.570021450454,20650.570021450454,20650.570021450454,20650.570021450454,20650.570021450454,20650.570021450454,20650.570021450454,20650.570021450454,20650.570021450454
Delta W snapshot0 [lambda],281.535049536928,281.535049536928,0.4693748216838612,(undefined),504.77654919865637,504.77654919865637,0.8415627225101039,(undefined),450.0724947465168,450.0724947465168,0.750360203157396,(undefined),314.64217737814056,314.64217737814056,0.5245709766652524,314.64217737814056,314.64217737814056,314.64217737814056,314.64217737814056,486.3223527763399,486.3223527763399,0.8107959133000572,486.3223527763399,486.3223527763399,486.3223527763399,491.72593447385475,517.2701388621069,517.2701388621069,0.8623920168736972,517.2701388621069,517.2701388621069,517.2701388621069,517.9268841968621,281.535049536928,281.535049536928,0.4693748216838612,(undefined),3501.5209399896476,3501.5209399896476,5.837730575760411,3501.5209399896476,3501.5209399896476,3501.5209399896476,459.30444428876547,459.30444428876547,0.7657516958944984,459.30444428876547,459.30444428876547,459.30444428876547,191.48942640568382,191.48942640568382,0.3192508908618975,191.48942640568382,191.48942640568382,459.30444428876547,459.30444428876547,0.7657516958944984,459.30444428876547,459.30444428876547,459.30444428876547,459.30444428876547,459.30444428876547,0.7657516958944984,459.30444428876547,459.30444428876547,459.30444428876547,459.30444428876547,459.30444428876547,0.7657516958944984,459.30444428876547,459.30444428876547,459.30444428876547,3120.568430314848,3120.568430314848,5.202607110342034,3120.568430314848,3120.568430314848,3120.568430314848,3120.568430314848,3120.568430314848,5.202607110342034,3120.568430314848,3120.568430314848,3120.568430314848,191.48942640568382,191.48942640568382,0.3192508908618975,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,191.48942640568382,450.0724947465168,450.0724947465168,0.750360203157396,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,450.0724947465168,2036.3189797019566,2036.3189797019566,3.3949480164589576,2036.3189797019566,2036.3189797019566,2036.3189797019566,2036.3189797019566,2036.3189797019566,2036.3189797019566,2565.7696543027587,2565.7696543027587,4.277647404652025,2565.7696543027587,2565.7696543027587,2565.7696543027587,2565.7696543027587,2565.7696543027587,2565.7696543027587,3423.6075159322854,3423.6075159322854,5.707833429441134,3423.6075159322854,3423.6075159322854,3423.6075159322854,3423.6075159322854,3423.6075159322854,3423.6075159322854,5120.819713915955,5120.819713915955,8.537423116759154,5120.819713915955,5120.819713915955,5120.819713915955,5120.819713915955,5120.819713915955,5120.819713915955
Delta W snapshot1 [lambda],422.30257430539194,422.30257430539194,0.7040622325257918,,757.1648237979846,757.1648237979846,1.2623440837651558,,675.1087421197752,675.1087421197752,1.1255403047360941,,471.96326606721084,471.96326606721084,0.7868564649978788,471.96326606721084,471.96326606721084,471.96326606721084,471.96326606721084,729.48352916451,729.48352916451,1.2161938699500856,729.48352916451,729.48352916451,729.48352916451,737.5889017107821,775.9052082931605,775.9052082931605,1.2935880253105456,775.9052082931605,775.9052082931605,775.9052082931605,776.8903262952932,422.30257430539194,422.30257430539194,0.7040622325257918,,5252.281409984471,5252.281409984471,8.756595863640618,5252.281409984471,5252.281409984471,5252.281409984471,688.9566664331481,688.9566664331481,1.1486275438417477,688.9566664331481,688.9566664331481,688.9566664331481,287.2341396085257,287.2341396085257,0.47887633629284626,287.2341396085257,287.2341396085257,688.9566664331481,688.9566664331481,1.1486275438417477,688.9566664331481,688.9566664331481,688.9566664331481,688.9566664331481,688.9566664331481,1.1486275438417477,688.9566664331481,688.9566664331481,688.9566664331481,688.9566664331481,688.9566664331481,1.1486275438417477,688.9566664331481,688.9566664331481,688.9566664331481,4680.852645472271,4680.852645472271,7.80391066551305,4680.852645472271,4680.852645472271,4680.852645472271,4680.852645472271,4680.852645472271,7.80391066551305,4680.852645472271,4680.852645472271,4680.852645472271,287.2341396085257,287.2341396085257,0.47887633629284626,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,287.2341396085257,675.1087421197752,675.1087421197752,1.1255403047360941,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,675.1087421197752,3054.4784695529347,3054.4784695529347,5.092422024688436,3054.4784695529347,3054.4784695529347,3054.4784695529347,3054.4784695529347,3054.4784695529347,3054.4784695529347,3848.654481454138,3848.654481454138,6.416471106978038,3848.654481454138,3848.654481454138,3848.654481454138,3848.654481454138,3848.654481454138,3848.654481454138,5135.411273898428,5135.411273898428,8.561750144161701,5135.411273898428,5135.411273898428,5135.411273898428,5135.411273898428,5135.411273898428,5135.411273898428,7681.229570873933,7681.229570873933,12.806134675138729,7681.229570873933,7681.229570873933,7681.229570873933,7681.229570873933,7681.229570873933,7681.229570873933
Delta W snapshot2 [lambda],563.070099073856,563.070099073856,0.9387496433677224,,1009.5530983973127,1009.5530983973127,1.6831254450202078,,900.1449894930336,900.1449894930336,1.500720406314792,,629.2843547562811,629.2843547562811,1.0491419533305049,629.2843547562811,629.2843547562811,629.2843547562811,629.2843547562811,972.6447055526799,972.6447055526799,1.6215918266001144,972.6447055526799,972.6447055526799,972.6447055526799,983.4518689477095,1034.5402777242139,1034.5402777242139,1.7247840337473943,1034.5402777242139,1034.5402777242139,1034.5402777242139,1035.8537683937243,563.070099073856,563.070099073856,0.9387496433677224,,7003.041879979295,7003.041879979295,11.675461151520823,7003.041879979295,7003.041879979295,7003.041879979295,918.6088885775309,918.6088885775309,1.5315033917889969,918.6088885775309,918.6088885775309,918.6088885775309,382.97885281136763,382.97885281136763,0.638501781723795,382.97885281136763,382.97885281136763,918.6088885775309,918.6088885775309,1.5315033917889969,918.6088885775309,918.6088885775309,918.6088885775309,918.6088885775309,918.6088885775309,1.5315033917889969,918.6088885775309,918.6088885775309,918.6088885775309,918.6088885775309,918.6088885775309,1.5315033917889969,918.6088885775309,918.6088885775309,918.6088885775309,6241.136860629696,6241.136860629696,10.405214220684067,6241.136860629696,6241.136860629696,6241.136860629696,6241.136860629696,6241.136860629696,10.405214220684067,6241.136860629696,6241.136860629696,6241.136860629696,382.97885281136763,382.97885281136763,0.638501781723795,382.97885281136763,382.97885281136763,382.97885281136763,382.97885281136763,382.97885281136763,382.97885281136763,900.1449894930336,900.1449894930336,1.500720406314792,900.1449894930336,900.1449894930336,900.1449894930336,900.1449894930336,900.1449894930336,900.1449894930336,4072.637959403913,4072.637959403913,6.789896032917915,4072.637959403913,4072.637959403913,4072.637959403913,4072.637959403913,4072.637959403913,4072.637959403913,5131.539308605517,5131.539308605517,8.55529480930405,5131.539308605517,5131.539308605517,5131.539308605517,5131.539308605517,5131.539308605517,5131.539308605517,6847.215031864571,6847.215031864571,11.415666858882268,6847.215031864571,6847.215031864571,6847.215031864571,6847.215031864571,6847.215031864571,6847.215031864571,10241.63942783191,10241.63942783191,17.074846233518308,10241.63942783191,10241.63942783191,10241.63942783191,10241.63942783191,10241.63942783191,10241.63942783191
Delta W snapshot3 [lambda],844.6051486107839,844.6051486107839,1.4081244650515836,,1514.3296475959692,1514.3296475959692,2.5246881675303117,,1350.2174842395505,1350.2174842395505,2.2510806094721882,,943.9265321344217,943.9265321344217,1.5737129299957575,943.9265321344217,943.9265321344217,943.9265321344217,943.9265321344217,1458.96705832902,1458.96705832902,2.432387739900171,1458.96705832902,1458.96705832902,1458.96705832902,1475.1778034215642,1551.810416586321,1551.810416586321,2.5871760506210912,1551.810416586321,1551.810416586321,1551.810416586321,1553.7806525905864,844.6051486107839,844.6051486107839,1.4081244650515836,,10504.562819968942,10504.562819968942,17.513191727281235,10504.562819968942,10504.562819968942,10504.562819968942,1377.9133328662963,1377.9133328662963,2.2972550876834954,1377.9133328662963,1377.9133328662963,1377.9133328662963,574.4682792170514,574.4682792170514,0.9577526725856925,574.4682792170514,574.4682792170514,1377.9133328662963,1377.9133328662963,2.2972550876834954,1377.9133328662963,1377.9133328662963,1377.9133328662963,1377.9133328662963,1377.9133328662963,2.2972550876834954,1377.9133328662963,1377.9133328662963,1377.9133328662963,1377.9133328662963,1377.9133328662963,2.2972550876834954,1377.9133328662963,1377.9133328662963,1377.9133328662963,9361.705290944543,9361.705290944543,15.6078213310261,9361.705290944543,9361.705290944543,9361.705290944543,9361.705290944543,9361.705290944543,15.6078213310261,9361.705290944543,9361.705290944543,9361.705290944543,574.4682792170514,574.4682792170514,0.9577526725856925,574.4682792170514,574.4682792170514,574.4682792170514,574.4682792170514,574.4682792170514,574.4682792170514,1350.2174842395505,1350.2174842395505,2.2510806094721882,1350.2174842395505,1350.2174842395505,1350.2174842395505,1350.2174842395505,1350.2174842395505,1350.2174842395505,6108.956939105869,6108.956939105869,10.184844049376872,6108.956939105869,6108.956939105869,6108.956939105869,6108.956939105869,6108.956939105869,6108.956939105869,7697.308962908276,7697.308962908276,12.832942213956075,7697.308962908276,7697.308962908276,7697.308962908276,7697.308962908276,7697.308962908276,7697.308962908276,10270.822547796855,10270.822547796855,17.123500288323402,10270.822547796855,10270.822547796855,10270.822547796855,10270.822547796855,10270.822547796855,10270.822547796855,15362.459141747866,15362.459141747866,25.612269350277458,15362.459141747866,15362.459141747866,15362.459141747866,15362.459141747866,15362.459141747866,15362.459141747866
Delta W snapshot4 [lambda],1407.6752476846398,1407.6752476846398,2.346874108419306,,2523.882745993282,2523.882745993282,4.2078136125505194,,2250.362473732584,2250.362473732584,3.75180101578698,,1573.2108868907028,1573.2108868907028,2.622854883326262,1573.2108868907028,1573.2108868907028,1573.2108868907028,1573.2108868907028,2431.6117638817,2431.6117638817,4.053979566500286,2431.6117638817,2431.6117638817,2431.6117638817,2458.629672369274,,,,,,,,1407.6752476846398,1407.6752476846398,2.346874108419306,,17507.60469994824,17507.60469994824,29.188652878802056,17507.60469994824,17507.60469994824,17507.60469994824,2296.522221443827,2296.522221443827,3.828758479472492,2296.522221443827,2296.522221443827,2296.522221443827,765.9577056227353,765.9577056227353,1.27700356344759,765.9577056227353,765.9577056227353,2296.522221443827,2296.522221443827,3.828758479472492,2296.522221443827,2296.522221443827,2296.522221443827,2296.522221443827,2296.522221443827,3.828758479472492,2296.522221443827,2296.522221443827,2296.522221443827,2296.522221443827,2296.522221443827,3.828758479472492,2296.522221443827,2296.522221443827,2296.522221443827,15602.84215157424,15602.84215157424,26.013035551710168,15602.84215157424,15602.84215157424,15602.84215157424,15602.84215157424,15602.84215157424,26.013035551710168,15602.84215157424,15602.84215157424,15602.84215157424,957.4471320284191,957.4471320284191,1.5962544543094874,957.4471320284191,957.4471320284191,957.4471320284191,957.4471320284191,957.4471320284191,957.4471320284191,2250.362473732584,2250.362473732584,3.75180101578698,2250.362473732584,2250.362473732584,2250.362473732584,2250.362473732584,2250.362473732584,2250.362473732584,10181.594898509782,10181.594898509782,16.974740082294787,10181.594898509782,10181.594898509782,10181.594898509782,10181.594898509782,10181.594898509782,10181.594898509782,12828.848271513792,12828.848271513792,21.388237023260125,12828.848271513792,12828.848271513792,12828.848271513792,12828.848271513792,12828.848271513792,12828.848271513792,17118.037579661428,17118.037579661428,28.539167147205667,17118.037579661428,17118.037579661428,17118.037579661428,17118.037579661428,17118.037579661428,17118.037579661428,25604.098569579775,25604.098569579775,42.687115583795766,25604.098569579775,25604.098569579775,25604.098569579775,25604.098569579775,25604.098569579775,25604.098569579775
Delta W snapshot5 [lambda],1970.7453467584958,1970.7453467584958,3.2856237517870284,,3533.435844390595,3533.435844390595,5.890939057570727,,3150.5074632256174,3150.5074632256174,5.252521422101772,,2202.4952416469837,2202.4952416469837,3.6719968366567675,2202.4952416469837,2202.4952416469837,2202.4952416469837,2202.4952416469837,,,,,,,,,,,,,,,1970.7453467584958,1970.7453467584958,3.2856237517870284,,24510.646579927532,24510.646579927532,40.86411403032288,24510.646579927532,24510.646579927532,24510.646579927532,2755.8266657325926,2755.8266657325926,4.594510175366991,2755.8266657325926,2755.8266657325926,2755.8266657325926,,,,,,3215.1311100213584,3215.1311100213584,5.360261871261489,3215.1311100213584,3215.1311100213584,3215.1311100213584,3215.1311100213584,3215.1311100213584,5.360261871261489,3215.1311100213584,3215.1311100213584,3215.1311100213584,3215.1311100213584,3215.1311100213584,5.360261871261489,3215.1311100213584,3215.1311100213584,3215.1311100213584,21843.979012203934,21843.979012203934,36.41824977239423,21843.979012203934,21843.979012203934,21843.979012203934,21843.979012203934,21843.979012203934,36.41824977239423,21843.979012203934,21843.979012203934,21843.979012203934,1340.4259848397867,1340.4259848397867,2.2347562360332827,1340.4259848397867,1340.4259848397867,1340.4259848397867,1340.4259848397867,1340.4259848397867,1340.4259848397867,3150.5074632256174,3150.5074632256174,5.252521422101772,3150.5074632256174,3150.5074632256174,3150.5074632256174,3150.5074632256174,3150.5074632256174,3150.5074632256174,14254.232857913696,14254.232857913696,23.764636115212703,14254.232857913696,14254.232857913696,14254.232857913696,14254.232857913696,14254.232857913696,14254.232857913696,17960.38758011931,17960.38758011931,29.943531832564176,17960.38758011931,17960.38758011931,17960.38758011931,17960.38758011931,17960.38758011931,17960.38758011931,23965.252611525997,23965.252611525997,39.954834006087935,23965.252611525997,23965.252611525997,23965.252611525997,23965.252611525997,23965.252611525997,23965.252611525997,35845.737997411685,35845.737997411685,59.761961817314074,35845.737997411685,35845.737997411685,35845.737997411685,35845.737997411685,35845.737997411685,35845.737997411685
