,hpso01 (Ingest) [Na=256],hpso01 (RCAL) [Na=256],hpso01 (FastImg) [Na=256],hpso01 (ICAL) [Na=256],hpso01 (DPrepA) [Na=256],hpso01 (DPrepB) [Na=256],hpso01 (DPrepC) [Na=256],hpso01 (DPrepD) [Na=256],hpso02a (Ingest) [Na=256],hpso02a (RCAL) [Na=256],hpso02a (FastImg) [Na=256],hpso02a (ICAL) [Na=256],hpso02a (DPrepA) [Na=256],hpso02a (DPrepB) [Na=256],hpso02a (DPrepC) [Na=256],hpso02a (DPrepD) [Na=256],hpso02b (Ingest) [Na=256],hpso02b (RCAL) [Na=256],hpso02b (FastImg) [Na=256],hpso02b (ICAL) [Na=256],hpso02b (DPrepA) [Na=256],hpso02b (DPrepB) [Na=256],hpso02b (DPrepC) [Na=256],hpso02b (DPrepD) [Na=256],hpso04a (Ingest) [Nf_max=8192] [Na=256],hpso04a (RCAL) [Nf_max=8192] [Na=256],hpso04a (FastImg) [Nf_max=8192] [Na=256],hpso04a (PSS) [Nf_max=8192] [Na=256],hpso05a (Ingest) [Nf_max=8192] [Na=256],hpso05a (RCAL) [Nf_max=8192] [Na=256],hpso05a (FastImg) [Nf_max=8192] [Na=256],hpso05a (PST) [Nf_max=8192] [Na=256],max_low (Ingest) [Nf_max=8192] [Na=256],max_low (RCAL) [Nf_max=8192] [Na=256],max_low (FastImg) [Nf_max=8192] [Na=256],max_low (ICAL) [Nf_max=8192] [Na=256],max_low (DPrepA) [Nf_max=8192] [Na=256],max_low (DPrepA_Image) [Nf_max=8192] [Na=256],max_low (DPrepB) [Nf_max=8192] [Na=256],max_low (DPrepC) [Nf_max=8192] [Na=256],max_low (DPrepD) [Nf_max=8192] [Na=256]
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Flag [Mvis/s],,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Degridding Kernel Update [Mvis/s],,0.4471627945649227,3.158493476508817,0.4471627945820523,0.6652912382655015,0.87495730323523,1.446711130138256,,,0.4471627945649227,3.158493476508817,1.7686930653999755,0.6652912382655015,0.87495730323523,1.446711130138256,,,0.4471627945649227,3.158493476508817,1.7686930653999755,0.6652912382655015,0.87495730323523,1.446711130138256,,,0.420116191580639,2.781288339942425,,,0.420116191580639,2.781288339942425,,,0.5339561246141866,3.0965887159892014,0.5339561246183987,0.6289323817045452,0.6412569493640929,0.7976985559380234,4.75354504590035,
-> FFT [Mvis/s],,0.011887058674304483,0.011006535809541189,0.011887058674304483,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.011887058674304483,0.011006535809541189,0.03301960742862356,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.011887058674304483,0.011006535809541189,0.03301960742862356,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.011948718688361457,0.011063628415149497,,,0.011948718688361457,0.011063628415149497,,,0.014869648845547293,0.011014554700405398,0.014869648845547293,0.018357591167342337,0.018357591167342334,0.018357591167342337,0.018357591167342337,
-> IFFT [Mvis/s],,0.059435293371522424,0.011006535809541189,0.059435293371522424,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.059435293371522424,0.011006535809541189,0.1650980371431178,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.059435293371522424,0.011006535809541189,0.1650980371431178,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.05974359344180729,0.011063628415149497,,,0.05974359344180729,0.011063628415149497,,,0.07434824422773648,0.011014554700405398,0.07434824422773648,0.018357591167342337,0.09178795583671168,0.007343036466936933,5.6022922263617973e-05,
-> Solve [Mvis/s],,297.09653333333335,,297.09653333333335,,,,,,297.09653333333335,,297.09653333333335,,,,,,297.09653333333335,,297.09653333333335,,,,,,297.09653333333335,,,,297.09653333333335,,,,297.09653333333335,,297.09653333333335,,,,,
-> Degrid [Mvis/s],,2334.176534367855,57717.06507293844,2334.1765344572714,4102.8469072532,10791.71243834916,50832.728753002695,,,2334.176534367855,57717.06507293844,62214.88602270692,4102.8469072532,10791.71243834916,50832.728753002695,,,2334.176534367855,57717.06507293844,62214.88602270692,4102.8469072532,10791.71243834916,50832.728753002695,,,685.5240681320505,16566.202646993097,,,685.5240681320505,16566.202646993097,,,3318.921784994304,31144.298691526816,3318.921785020485,2180.1332253739165,2222.8551462426235,5530.289666179896,97891.57372922785,
-> Reprojection [Mvis/s],,141.30216392635742,,141.30216392635742,336.5106403519791,336.5106403519791,336.5106403519791,,,141.30216392635742,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,141.30216392635742,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,142.77187829359832,,,,142.77187829359832,,,,221.106456789886,,221.10645678988598,337.00115346728535,42.12514418341067,337.0011534672853,337.00115346728535,
-> Identify Component [Mvis/s],,,,141.30216392635742,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,,,,,,,,,221.1064567898859,337.00115346728535,337.00115346728535,337.0011534672853,337.00115346728535,
-> Reprojection Predict [Mvis/s],,706.5108196317871,,706.5108196317871,336.5106403519791,134.60425614079162,44.86808538026387,,,706.5108196317871,,5451.4723737020595,336.5106403519791,134.60425614079162,44.86808538026387,,,706.5108196317871,,5451.4723737020595,336.5106403519791,134.60425614079162,44.86808538026387,,,713.8593914679917,,,,713.8593914679917,,,,1105.53228394943,,1105.5322839494297,337.00115346728535,42.12514418341067,134.80046138691412,1.0284459029152995,
-> Gridding Kernel Update [Mvis/s],,0.4471627945649227,3.158493476508817,0.4471627945820523,0.6652912382655015,0.87495730323523,1.446711130138256,,,0.4471627945649227,3.158493476508817,1.7686930653999755,0.6652912382655015,0.87495730323523,1.446711130138256,,,0.4471627945649227,3.158493476508817,1.7686930653999755,0.6652912382655015,0.87495730323523,1.446711130138256,,,0.420116191580639,2.781288339942425,,,0.420116191580639,2.781288339942425,,,0.5339561246141866,3.0965887159892014,0.5339561246183987,0.6289323817045452,0.6412569493640929,0.7976985559380234,4.75354504590035,
-> Phase Rotation Predict [Mvis/s],,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,
-> Correct [Mvis/s],,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335
-> Grid [Mvis/s],,2334.176534367855,57717.06507293844,2334.1765344572714,4102.8469072532,10791.71243834916,50832.728753002695,,,2334.176534367855,57717.06507293844,62214.88602270692,4102.8469072532,10791.71243834916,50832.728753002695,,,2334.176534367855,57717.06507293844,62214.88602270692,4102.8469072532,10791.71243834916,50832.728753002695,,,685.5240681320505,16566.202646993097,,,685.5240681320505,16566.202646993097,,,3318.921784994304,31144.298691526816,3318.921785020485,2180.1332253739165,2222.8551462426235,5530.289666179896,97891.57372922785,
-> Phase Rotation [Mvis/s],,297.09653333333335,297.09653333333335,297.09653333333335,59.419306666666664,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,59.419306666666664,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,59.419306666666664,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,59.419306666666664,297.09653333333335,297.09653333333335,297.09653333333335,
-> Subtract Visibility [Mvis/s],,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,
-> Subtract Image Component [Mvis/s],,,,141.30216392635742,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,,,,,,,,,221.1064567898859,337.00115346728535,337.00115346728535,337.0011534672853,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> DFT [Mvis/s],,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,,,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,297.09653333333335,
-> Visibility Weighting [Mvis/s],,10.80777234969474,122.22036395379719,10.80777234969474,22.093272683807342,22.093272683807342,59.213951293802765,,,10.80777234969474,122.22036395379719,57.88954614816935,22.093272683807342,22.093272683807342,59.213951293802765,,,10.80777234969474,122.22036395379719,57.88954614816935,22.093272683807342,22.093272683807342,59.213951293802765,,,6.622774812307172,88.06731032445562,,,6.622774812307172,88.06731032445562,,,21.403752787145066,142.81345720896485,21.403752787145066,26.663936376951867,26.663936376951867,26.663936376951867,77.39532801871273,
