,hpso01 (Ingest) [Nf_max=65536] [Na=128],hpso01 (RCAL) [Nf_max=65536] [Na=128],hpso01 (FastImg) [Nf_max=65536] [Na=128],hpso01 (ICAL) [Nf_max=65536] [Na=128],hpso01 (DPrepA) [Nf_max=65536] [Na=128],hpso01 (DPrepB) [Nf_max=65536] [Na=128],hpso01 (DPrepC) [Nf_max=65536] [Na=128],hpso01 (DPrepD) [Nf_max=65536] [Na=128],hpso02a (Ingest) [Nf_max=65536] [Na=128],hpso02a (RCAL) [Nf_max=65536] [Na=128],hpso02a (FastImg) [Nf_max=65536] [Na=128],hpso02a (ICAL) [Nf_max=65536] [Na=128],hpso02a (DPrepA) [Nf_max=65536] [Na=128],hpso02a (DPrepB) [Nf_max=65536] [Na=128],hpso02a (DPrepC) [Nf_max=65536] [Na=128],hpso02a (DPrepD) [Nf_max=65536] [Na=128],hpso02b (Ingest) [Nf_max=65536] [Na=128],hpso02b (RCAL) [Nf_max=65536] [Na=128],hpso02b (FastImg) [Nf_max=65536] [Na=128],hpso02b (ICAL) [Nf_max=65536] [Na=128],hpso02b (DPrepA) [Nf_max=65536] [Na=128],hpso02b (DPrepB) [Nf_max=65536] [Na=128],hpso02b (DPrepC) [Nf_max=65536] [Na=128],hpso02b (DPrepD) [Nf_max=65536] [Na=128],hpso04a (Ingest) [Nf_max=65536] [Na=128],hpso04a (RCAL) [Nf_max=65536] [Na=128],hpso04a (FastImg) [Nf_max=65536] [Na=128],hpso04a (PSS) [Nf_max=65536] [Na=128],hpso05a (Ingest) [Na=128],hpso05a (RCAL) [Na=128],hpso05a (FastImg) [Na=128],hpso05a (PST) [Na=128],max_low (Ingest) [Na=128],max_low (RCAL) [Na=128],max_low (FastImg) [Na=128],max_low (ICAL) [Na=128],max_low (DPrepA) [Na=128],max_low (DPrepA_Image) [Na=128],max_low (DPrepB) [Na=128],max_low (DPrepC) [Na=128],max_low (DPrepD) [Na=128]
-> Grid [Tera/s],,3.301169186451597,142.56682726009865,29.710522678064375,18.677393784802003,4.456655274050345,14.643358433238642,,,3.301169186451597,142.56682726009865,12.324920373841797,18.677393784802003,4.456655274050345,14.643358433238642,,,3.301169186451597,142.56682726009865,12.324920373841797,18.677393784802003,4.456655274050345,14.643358433238642,,,1.4304899494407755,44.13528695640362,,,1.4304899494407755,44.13528695640362,,,3.2489684043107863,100.24125057198171,29.240715638797077,13.132405236529674,2.626481047305935,3.0715411165847657,64.79180036214306,
-> Phase Rotation [Tera/s],,0.0068907688724283885,0.0,0.0620169198518555,0.0,0.011393207324123193,0.0,,,0.0068907688724283885,0.0,0.029532817132535586,0.0,0.011393207324123193,0.0,,,0.0068907688724283885,0.0,0.029532817132535586,0.0,0.011393207324123193,0.0,,,0.001979040943912967,0.0,,,0.001979040943912967,0.0,,,0.0045349907696964524,0.0,0.040814916927268075,0.0,0.0,0.007629790302393498,0.0,
-> Subtract Visibility [Tera/s],,0.022854674996155042,0.008226288520342788,0.20569207496539535,0.046557900434574175,0.09311580086914835,0.18097834744754135,,,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,,,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,,,0.007002435911791829,0.002520449607911791,,,0.007002435911791829,0.002520449607911791,,,0.016046138004731075,0.0057756306048687535,0.14441524204257966,0.032688037941927685,0.032688037941927685,0.06537607588385537,0.3125036100266666,
-> Subtract Image Component [Tera/s],,,,0.0007065108196317871,8.225815653048378e-05,0.011845174540389664,0.024677446959145134,,,,,0.00031400480872523863,8.225815653048378e-05,0.011845174540389664,0.024677446959145134,,,,,0.00031400480872523863,8.225815653048378e-05,0.011845174540389664,0.024677446959145134,,,,,,,,,,,,,0.0004127320526744538,4.805386817959439e-05,4.805386817959439e-05,0.004942683584186851,0.44989404357398544,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> DFT [Tera/s],,0.022854674996155042,0.008226288520342788,0.20569207496539535,0.046557900434574175,0.09311580086914835,0.18097834744754135,,,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,,,0.022854674996155042,0.008226288520342788,0.13712985278551795,0.046557900434574175,0.09311580086914835,0.18097834744754135,,,0.007002435911791829,0.002520449607911791,,,0.007002435911791829,0.002520449607911791,,,0.016046138004731075,0.0057756306048687535,0.14441524204257966,0.032688037941927685,0.032688037941927685,0.06537607588385537,0.3125036100266666,
-> Visibility Weighting [Tera/s],,0.00358688737299748,0.0003146330279257429,0.03228198635697732,0.000590070886714327,0.006855896994867756,0.0019875234051864275,,,0.00358688737299748,0.0003146330279257429,0.01647040120253945,0.000590070886714327,0.006855896994867756,0.0019875234051864275,,,0.00358688737299748,0.0003146330279257429,0.01647040120253945,0.000590070886714327,0.006855896994867756,0.0019875234051864275,,,0.0010570064374836108,0.00015731651396287146,,,0.0010570064374836108,0.00015731651396287146,,,0.0010570064374836108,0.00015731651396287146,0.009513057937352498,0.0002950354433571635,0.0002950354433571635,0.003427948497433878,0.0009937617025932138,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Flag [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,334.2945417652307,240.65127520286472,334.2945417652307,123.81832553760486,123.81832553760486,123.81832553760486,591.8628977777778,240.65127520286472
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Degridding Kernel Update [Mvis/s],,0.09946189161162136,0.7865267907438687,0.09946189161298549,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.11881526154261705,0.6925953318805265,,,0.11881526154261705,0.6925953318805265,,,0.1279236286977724,0.7711112943897042,0.12792362002625213,0.201977698208878,0.21006248525156168,0.09363123942046045,1.213207598994867,
-> FFT [Mvis/s],,0.008490756195931771,0.011006535809541189,0.008490756195931771,0.018344226349235312,0.007337690539694124,0.018344226349235312,,,0.008490756195931771,0.011006535809541189,0.007924705782869653,0.018344226349235312,0.007337690539694124,0.018344226349235312,,,0.008490756195931771,0.011006535809541189,0.007924705782869653,0.018344226349235312,0.007337690539694124,0.018344226349235312,,,0.011948718688361457,0.011063628415149497,,,0.011948718688361457,0.011063628415149497,,,0.011895719076437836,0.011014554700405398,0.011895719076437836,0.018357591167342337,0.018357591167342334,0.007343036466936934,0.018357591167342337,
-> IFFT [Mvis/s],,0.042453780979658864,0.011006535809541189,0.042453780979658864,0.018344226349235312,0.00293507621587765,0.0024458968465647076,,,0.042453780979658864,0.011006535809541189,0.039623528914348276,0.018344226349235312,0.00293507621587765,0.0024458968465647076,,,0.042453780979658864,0.011006535809541189,0.039623528914348276,0.018344226349235312,0.00293507621587765,0.0024458968465647076,,,0.05974359344180729,0.011063628415149497,,,0.05974359344180729,0.011063628415149497,,,0.05947859538218918,0.011014554700405398,0.05947859538218918,0.018357591167342337,0.09178795583671168,0.002937214586774774,5.6022922263617973e-05,
-> Solve [Mvis/s],,238.06953120994834,,238.06953120994834,,,,,,238.06953120994834,,158.71510739064578,,,,,,238.06953120994834,,158.71510739064578,,,,,,145.88408149566314,,,,145.88408149566314,,,,334.2945417652307,,334.2945417652307,,,,,
-> Degrid [Mvis/s],,251.18623374773014,22159.209902302082,251.18623375297892,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,206.41754494809186,4698.308539825747,,,206.41754494809186,4698.308539825747,,,468.8287706730059,14771.287675525266,468.82873889265204,990.767700082314,1030.4262660278036,115.37974088345418,200456.51830191485,
-> Reprojection [Mvis/s],,72.09294077875377,,72.09294077875377,336.5106403519791,53.841702456316646,336.5106403519791,,,72.09294077875377,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,72.09294077875377,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,142.77187829359832,,,,142.77187829359832,,,,141.50813234552706,,141.50813234552703,337.00115346728535,42.12514418341067,53.92018455476563,337.00115346728535,
-> Identify Component [Mvis/s],,,,72.09294077875377,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,,,,,,,,,141.508132345527,337.00115346728535,337.00115346728535,53.92018455476563,337.00115346728535,
-> Reprojection Predict [Mvis/s],,360.4647038937689,,360.4647038937689,336.5106403519791,21.536680982526658,44.86808538026387,,,360.4647038937689,,314.0048087252386,336.5106403519791,21.536680982526658,44.86808538026387,,,360.4647038937689,,314.0048087252386,336.5106403519791,21.536680982526658,44.86808538026387,,,713.8593914679917,,,,713.8593914679917,,,,707.5406617276351,,707.540661727635,337.00115346728535,42.12514418341067,21.56807382190626,1.0284459029152995,
-> Gridding Kernel Update [Mvis/s],,0.09946189161162136,0.7865267907438687,0.09946189161298549,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.09946189161162136,0.7865267907438687,0.0963653340102323,0.22677379572587825,0.09859003930010123,0.5217513101271724,,,0.11881526154261705,0.6925953318805265,,,0.11881526154261705,0.6925953318805265,,,0.1279236286977724,0.7711112943897042,0.12792362002625213,0.201977698208878,0.21006248525156168,0.09363123942046045,1.213207598994867,
-> Phase Rotation Predict [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214804,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214804,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214804,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,334.2945417652307,240.65127520286472,334.2945417652307,123.81832553760485,123.81832553760486,123.81832553760486,591.8628977777778,
-> Correct [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,171.38101084047474,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,334.2945417652307,240.65127520286472,334.2945417652307,123.81832553760486,123.81832553760486,123.81832553760486,591.8628977777778,240.65127520286472
-> Grid [Mvis/s],,251.18623374773014,22159.209902302082,251.18623375297892,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,251.18623374773014,22159.209902302082,227.02261971810424,1584.403633706784,181.37414270805957,33345.22465858705,,,206.41754494809186,4698.308539825747,,,206.41754494809186,4698.308539825747,,,468.8287706730059,14771.287675525266,468.82873889265204,990.767700082314,1030.4262660278036,115.37974088345418,200456.51830191485,
-> Phase Rotation [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,17.635568346429608,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,17.635568346429608,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,17.635568346429608,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,334.2945417652307,240.65127520286472,334.2945417652307,24.76366510752097,123.81832553760486,123.81832553760486,591.8628977777778,
-> Subtract Visibility [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,334.2945417652307,240.65127520286472,334.2945417652307,123.81832553760486,123.81832553760486,123.81832553760486,591.8628977777778,
-> Subtract Image Component [Mvis/s],,,,72.09294077875377,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,62.800961745047736,336.5106403519791,53.841702456316646,336.5106403519791,,,,,,,,,,,,,141.508132345527,337.00115346728535,337.00115346728535,53.92018455476563,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> DFT [Mvis/s],,238.06953120994834,171.38101084047474,238.06953120994834,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,238.06953120994834,171.38101084047474,158.71510739064578,88.17784173214805,88.17784173214805,171.38101084047474,,,145.88408149566314,105.01873366299128,,,145.88408149566314,105.01873366299128,,,334.2945417652307,240.65127520286472,334.2945417652307,123.81832553760486,123.81832553760486,123.81832553760486,591.8628977777778,
-> Visibility Weighting [Mvis/s],,1.4648743351250826,39.465737241803986,1.4648743351250826,6.016956044713117,1.1987802319153191,22.905199513669288,,,1.4648743351250826,39.465737241803986,1.3672600524322032,6.016956044713117,1.1987802319153191,22.905199513669288,,,1.4648743351250826,39.465737241803986,1.3672600524322032,6.016956044713117,1.1987802319153191,22.905199513669288,,,1.649200786594139,24.18377962893196,,,1.649200786594139,24.18377962893196,,,3.7791589747470438,55.41733927403003,3.7791589747470438,8.448941176979005,8.448941176979005,1.6055956023555342,154.1836338568865,
