,hpso01 (Ingest) [Nf_max=65536] [Na=512],hpso01 (RCAL) [Nf_max=65536] [Na=512],hpso01 (FastImg) [Nf_max=65536] [Na=512],hpso01 (ICAL) [Nf_max=65536] [Na=512],hpso01 (DPrepA) [Nf_max=65536] [Na=512],hpso01 (DPrepB) [Nf_max=65536] [Na=512],hpso01 (DPrepC) [Nf_max=65536] [Na=512],hpso01 (DPrepD) [Nf_max=65536] [Na=512],hpso02a (Ingest) [Nf_max=65536] [Na=512],hpso02a (RCAL) [Nf_max=65536] [Na=512],hpso02a (FastImg) [Nf_max=65536] [Na=512],hpso02a (ICAL) [Nf_max=65536] [Na=512],hpso02a (DPrepA) [Nf_max=65536] [Na=512],hpso02a (DPrepB) [Nf_max=65536] [Na=512],hpso02a (DPrepC) [Nf_max=65536] [Na=512],hpso02a (DPrepD) [Nf_max=65536] [Na=512],hpso02b (Ingest) [Nf_max=65536] [Na=512],hpso02b (RCAL) [Nf_max=65536] [Na=512],hpso02b (FastImg) [Nf_max=65536] [Na=512],hpso02b (ICAL) [Nf_max=65536] [Na=512],hpso02b (DPrepA) [Nf_max=65536] [Na=512],hpso02b (DPrepB) [Nf_max=65536] [Na=512],hpso02b (DPrepC) [Nf_max=65536] [Na=512],hpso02b (DPrepD) [Nf_max=65536] [Na=512],hpso04a (Ingest) [Na=512],hpso04a (RCAL) [Na=512],hpso04a (FastImg) [Na=512],hpso04a (PSS) [Na=512],hpso05a (Ingest) [Na=512],hpso05a (RCAL) [Na=512],hpso05a (FastImg) [Na=512],hpso05a (PST) [Na=512],max_low (Ingest) [Na=512],max_low (RCAL) [Na=512],max_low (FastImg) [Na=512],max_low (ICAL) [Na=512],max_low (DPrepA) [Na=512],max_low (DPrepA_Image) [Na=512],max_low (DPrepB) [Na=512],max_low (DPrepC) [Na=512],max_low (DPrepD) [Na=512]
-> Reprojection [Tera/s],,0.010466826957507957,,0.09420144261757162,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.010466826957507957,,0.04186730783003182,0.03948391513463221,0.19741957567316107,0.5922587270194831,,,0.005287847344207346,,,,0.005287847344207346,,,,0.0052410419387232225,,0.04716937744850901,0.019770734336747406,0.0004942683584186851,0.09885367168373703,12.95694845493078,
-> Source Find [Tera/s],,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,1.44e-08,,,,,,,,,,,,,,,,1.44e-08,,,,,
-> Reprojection Predict [Tera/s],,0.05233413478753979,,0.4710072130878581,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.05233413478753979,,0.20933653915015912,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.05233413478753979,,0.20933653915015912,0.03948391513463221,0.07896783026926442,0.07896783026926442,,,0.026439236721036728,,,,0.026439236721036728,,,,0.026205209693616116,,0.23584688724254504,0.019770734336747406,0.0004942683584186851,0.03954146867349481,0.03954146867349481,
Total visibilities [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-> DFT [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,5380.2995540797765,3873.1591064146105,5380.2995540797765,1992.7925779438137,1992.7925779438137,1992.7925779438137,9525.730417777779,
-> Subtract Visibility [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,5380.2995540797765,3873.1591064146105,5380.2995540797765,1992.7925779438137,1992.7925779438137,1992.7925779438137,9525.730417777779,
-> Flag [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,5380.2995540797765,3873.1591064146105,5380.2995540797765,1992.7925779438137,1992.7925779438137,1992.7925779438137,9525.730417777779,3873.1591064146105
-> Degrid [Mvis/s],,1001416.411241688,305688.45384349953,1001416.4112426153,15242.456887132481,36025.14015311137,268789.2320633012,,,1001416.411241688,305688.45384349953,285198.6049100664,15242.456887132481,36025.14015311137,268789.2320633012,,,1001416.411241688,305688.45384349953,285198.6049100664,15242.456887132481,36025.14015311137,268789.2320633012,,,270209.0135133975,75616.8709119083,,,270209.0135133975,75616.8709119083,,,624355.3025011191,202127.6597292518,624355.3025012797,10306.36012405115,10494.91621475107,23680.973525114183,971169.5519509562,
-> Image Spectral Fitting [Mvis/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37070.12688140139,,,
-> Visibility Weighting [Mvis/s],,701.9230225384765,635.1808419074595,701.9230225384765,96.8398279952253,96.8398279952253,368.64746303889785,,,701.9230225384765,635.1808419074595,339.0664593014417,96.8398279952253,96.8398279952253,368.64746303889785,,,701.9230225384765,635.1808419074595,339.0664593014417,96.8398279952253,96.8398279952253,368.64746303889785,,,430.1238708067749,389.22555560265295,,,430.1238708067749,389.22555560265295,,,985.6323557067033,891.913712410373,985.6323557067033,135.98138398224478,135.98138398224478,135.98138398224478,2481.5066740431184,
-> Subtract Image Component [Mvis/s],,,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,,,,,,,,,2456.7384087765104,337.00115346728535,337.00115346728535,337.0011534672853,337.00115346728535,
-> Demix [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> FFT [Mvis/s],,0.049529411142935346,0.011006535809541189,0.049529411142935346,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.049529411142935346,0.011006535809541189,0.03301960742862356,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.049529411142935346,0.011006535809541189,0.03301960742862356,0.018344226349235312,0.018344226349235312,0.018344226349235312,,,0.04978632786817274,0.011063628415149497,,,0.04978632786817274,0.011063628415149497,,,0.04956549615182431,0.011014554700405398,0.04956549615182431,0.018357591167342337,0.018357591167342334,0.018357591167342337,0.018357591167342337,
-> Grid [Mvis/s],,1001416.411241688,305688.45384349953,1001416.4112426153,15242.456887132481,36025.14015311137,268789.2320633012,,,1001416.411241688,305688.45384349953,285198.6049100664,15242.456887132481,36025.14015311137,268789.2320633012,,,1001416.411241688,305688.45384349953,285198.6049100664,15242.456887132481,36025.14015311137,268789.2320633012,,,270209.0135133975,75616.8709119083,,,270209.0135133975,75616.8709119083,,,624355.3025011191,202127.6597292518,624355.3025012797,10306.36012405115,10494.91621475107,23680.973525114183,971169.5519509562,
-> Gridding Kernel Update [Mvis/s],,9.313409266716663,12.054619339418162,9.313409266725287,2.181634610617648,2.578117595882043,4.205733666904207,,,9.313409266716663,12.054619339418162,4.790638823222493,2.181634610617648,2.578117595882043,4.205733666904207,,,9.313409266716663,12.054619339418162,4.790638823222493,2.181634610617648,2.578117595882043,4.205733666904207,,,8.201999565985508,11.146967373580413,,,8.201999565985508,11.146967373580413,,,8.270472416092069,11.809300218284207,8.270472416094197,2.1010524410461424,2.1394914466573165,2.413799179944281,6.476985392083049,
-> Correct [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874854,1419.1772322874854,2758.2896547868536,2758.2896547868536,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,5380.2995540797765,3873.1591064146105,5380.2995540797765,1992.7925779438137,1992.7925779438137,1992.7925779438137,9525.730417777779,3873.1591064146105
-> IFFT [Mvis/s],,0.24764705571467674,0.011006535809541189,0.24764705571467674,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24764705571467674,0.011006535809541189,0.1650980371431178,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24764705571467674,0.011006535809541189,0.1650980371431178,0.018344226349235312,0.0073376905396941245,0.0024458968465647076,,,0.24893163934086368,0.011063628415149497,,,0.24893163934086368,0.011063628415149497,,,0.24782748075912156,0.011014554700405398,0.24782748075912156,0.018357591167342337,0.09178795583671168,0.007343036466936933,5.6022922263617973e-05,
-> Identify Component [Mvis/s],,,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,,,,,,,,,,,2456.7384087765104,337.00115346728535,337.00115346728535,337.0011534672853,337.00115346728535,
-> Average [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Phase Rotation Predict [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,1419.1772322874851,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874851,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,1419.1772322874851,1419.1772322874854,2758.2896547868536,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,5380.2995540797765,3873.1591064146105,5380.2995540797765,1992.7925779438135,1992.7925779438137,1992.7925779438137,9525.730417777779,
-> Receive [Mvis/s],0.0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,
-> Solve [Mvis/s],,3831.607258213656,,3831.607258213656,,,,,,3831.607258213656,,2554.438421310866,,,,,,3831.607258213656,,2554.438421310866,,,,,,2347.9296265916178,,,,2347.9296265916178,,,,5380.299554079776,,5380.299554079776,,,,,
-> Degridding Kernel Update [Mvis/s],,9.313409266716663,12.054619339418162,9.313409266725287,2.181634610617648,2.578117595882043,4.205733666904207,,,9.313409266716663,12.054619339418162,4.790638823222493,2.181634610617648,2.578117595882043,4.205733666904207,,,9.313409266716663,12.054619339418162,4.790638823222493,2.181634610617648,2.578117595882043,4.205733666904207,,,8.201999565985508,11.146967373580413,,,8.201999565985508,11.146967373580413,,,8.270472416092069,11.809300218284207,8.270472416094197,2.1010524410461424,2.1394914466573165,2.413799179944281,6.476985392083049,
-> Phase Rotation [Mvis/s],,3831.6072582136567,2758.2896547868536,3831.6072582136567,283.835446457497,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,283.835446457497,1419.1772322874854,2758.2896547868536,,,3831.6072582136567,2758.2896547868536,2554.438421310866,283.835446457497,1419.1772322874854,2758.2896547868536,,,2347.9296265916178,1690.222768560269,,,2347.9296265916178,1690.222768560269,,,5380.2995540797765,3873.1591064146105,5380.2995540797765,398.55851558876276,1992.7925779438137,1992.7925779438137,9525.730417777779,
-> Reprojection [Mvis/s],,2453.1625681659275,,2453.1625681659275,336.5106403519791,336.5106403519791,336.5106403519791,,,2453.1625681659275,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,2453.1625681659275,,1090.294474740412,336.5106403519791,336.5106403519791,336.5106403519791,,,2478.678442597193,,,,2478.678442597193,,,,2456.7384087765113,,2456.738408776511,337.00115346728535,42.12514418341067,337.0011534672853,337.00115346728535,
-> Source Find [Mvis/s],,,,9e-06,,,,,,,,9e-06,,,,,,,,9e-06,,,,,,,,,,,,,,,,9e-06,,,,,
-> Reprojection Predict [Mvis/s],,12265.812840829638,,12265.812840829638,336.5106403519791,134.60425614079162,44.86808538026387,,,12265.812840829638,,5451.4723737020595,336.5106403519791,134.60425614079162,44.86808538026387,,,12265.812840829638,,5451.4723737020595,336.5106403519791,134.60425614079162,44.86808538026387,,,12393.392212985967,,,,12393.392212985967,,,,12283.692043882555,,12283.692043882553,337.00115346728535,42.12514418341067,134.80046138691412,1.0284459029152995,
